t 1 2 3 4 jK0100 jL0203 jL1
2.9e-06 -6574.32 4649.56 -4742.14 10000 58.2428 58.2428 53.7642
2.91e-06 -6582.58 3713.06 -4748.09 10000 58.8195 58.8195 47.1857
2.92e-06 -6583.86 2767.82 -4749.01 10000 59.3356 59.3356 40.6025
2.93e-06 -6578.21 1814.82 -4744.94 10000 59.7903 59.7903 34.0215
2.94e-06 -6565.68 855.034 -4735.9 10000 60.1827 60.1827 27.4495
2.95e-06 -6546.32 -110.526 -4721.93 10000 60.5123 60.5123 20.8935
2.96e-06 -6520.2 -1080.85 -4703.1 10000 60.7782 60.7782 14.3603
2.97e-06 -6487.4 -2054.92 -4679.43 10000 60.98 60.98 7.85648
2.98e-06 -6447.98 -3031.69 -4651.01 10000 61.1171 61.1171 1.38879
2.99e-06 -6402.05 -4010.14 -4617.87 10000 61.189 61.189 -5.03623
3e-06 -6349.69 -4989.22 -4580.1 10000 61.1954 61.1954 -11.4121
3.01e-06 -6291 -5967.87 -4537.77 10000 61.136 61.136 -17.7324
3.02e-06 -6226.08 -6945.04 -4490.94 10000 61.0105 61.0105 -23.991
3.03e-06 -6155.06 -7919.67 -4439.71 10000 60.8189 60.8189 -30.1815
3.04e-06 -6078.04 -8890.71 -4384.16 10000 60.5609 60.5609 -36.2981
3.05e-06 -5995.16 -9857.09 -4324.38 10000 60.2366 60.2366 -42.3347
3.06e-06 -5906.54 -10817.8 -4260.45 10000 59.8461 59.8461 -48.2855
3.07e-06 -5812.32 -11771.6 -4192.49 10000 59.3895 59.3895 -54.145
3.08e-06 -5712.64 -12717.7 -4120.6 10000 58.867 58.867 -59.9075
3.09e-06 -5607.66 -13654.9 -4044.87 10000 58.2789 58.2789 -65.5676
3.1e-06 -5497.51 -14582.1 -3965.42 10000 57.6256 57.6256 -71.1202
3.11e-06 -5382.37 -15498.4 -3882.36 10000 56.9075 56.9075 -76.5601
3.12e-06 -5262.38 -16402.6 -3795.81 10000 56.1251 56.1251 -81.8825
3.13e-06 -5137.72 -17293.9 -3705.89 10000 55.279 55.279 -87.0825
3.14e-06 -5008.55 -18171 -3612.73 10000 54.3698 54.3698 -92.1557
3.15e-06 -4875.06 -19033.2 -3516.44 10000 53.3984 53.3984 -97.0975
3.16e-06 -4737.41 -19879.3 -3417.15 10000 52.3655 52.3655 -101.904
3.17e-06 -4595.8 -20708.4 -3315 10000 51.2719 51.2719 -106.57
3.18e-06 -4450.4 -21519.5 -3210.12 10000 50.1187 50.1187 -111.093
3.19e-06 -4301.4 -22311.7 -3102.65 10000 48.9068 48.9068 -115.469
3.2e-06 -4149 -23084.1 -2992.72 10000 47.6374 47.6374 -119.695
3.21e-06 -3993.39 -23835.7 -2880.48 10000 46.3116 46.3116 -123.766
3.22e-06 -3834.76 -24565.6 -2766.06 10000 44.9306 44.9306 -127.68
3.23e-06 -3673.31 -25273 -2649.6 10000 43.4957 43.4957 -131.434
3.24e-06 -3509.24 -25957.1 -2531.26 10000 42.0083 42.0083 -135.025
3.25e-06 -3342.76 -26616.9 -2411.17 10000 40.4698 40.4698 -138.451
3.26e-06 -3174.06 -27251.7 -2289.49 10000 38.8817 38.8817 -141.71
3.27e-06 -3003.35 -27860.7 -2166.35 10000 37.2454 37.2454 -144.798
3.28e-06 -2830.84 -28443.2 -2041.91 10000 35.5627 35.5627 -147.715
3.29e-06 -2656.72 -28998.4 -1916.32 10000 33.8352 33.8352 -150.459
3.3e-06 -2481.21 -29525.6 -1789.73 10000 32.0646 32.0646 -153.028
3.31e-06 -2304.51 -30024.1 -1662.27 10000 30.2526 30.2526 -155.421
3.32e-06 -2126.83 -30493.3 -1534.11 10000 28.4011 28.4011 -157.637
3.33e-06 -1948.37 -30932.6 -1405.38 10000 26.512 26.512 -159.674
