t 1 2 3 jxH0100
0.479 8.80378 4.58 4.58 8.80378
0.48 8.84984 4.6 4.6 8.84984
0.481 8.89589 4.62 4.62 8.89589
0.482 8.94194 4.64 4.64 8.94194
0.483 8.98799 4.66 4.66 8.98799
0.484 9.03404 4.68 4.68 9.03404
0.485 9.08009 4.7 4.7 9.08009
0.486 9.12615 4.72 4.72 9.12615
0.487 9.1722 4.74 4.74 9.1722
0.488 9.21825 4.76 4.76 9.21825
0.489 9.2643 4.78 4.78 9.2643
0.49 9.31035 4.8 4.8 9.31035
0.491 9.35641 4.82 4.82 9.35641
0.492 9.40246 4.84 4.84 9.40246
0.493 9.44851 4.86 4.86 9.44851
0.494 9.49456 4.88 4.88 9.49456
0.495 9.54061 4.9 4.9 9.54061
0.496 9.58666 4.92 4.92 9.58666
0.497 9.63272 4.94 4.94 9.63272
0.498 9.67877 4.96 4.96 9.67877
0.499 9.72482 4.98 4.98 9.72482
0.5 9.77087 5 5 9.77087
0.501 9.72482 4.98 4.98 9.72482
0.502 9.67877 4.96 4.96 9.67877
0.503 9.63272 4.94 4.94 9.63272
0.504 9.58666 4.92 4.92 9.58666
0.505 9.54061 4.9 4.9 9.54061
0.506 9.49456 4.88 4.88 9.49456
0.507 9.44851 4.86 4.86 9.44851
0.508 9.40246 4.84 4.84 9.40246
0.509 9.35641 4.82 4.82 9.35641
0.51 9.31035 4.8 4.8 9.31035
0.511 9.2643 4.78 4.78 9.2643
0.512 9.21825 4.76 4.76 9.21825
0.513 9.1722 4.74 4.74 9.1722
0.514 9.12615 4.72 4.72 9.12615
0.515 9.08009 4.7 4.7 9.08009
0.516 9.03404 4.68 4.68 9.03404
0.517 8.98799 4.66 4.66 8.98799
0.518 8.94194 4.64 4.64 8.94194
0.519 8.89589 4.62 4.62 8.89589
0.52 8.84984 4.6 4.6 8.84984
0.521 8.80378 4.58 4.58 8.80378
0.522 8.75773 4.56 4.56 8.75773
0.523 8.71168 4.54 4.54 8.71168
0.524 8.66563 4.52 4.52 8.66563
0.525 8.61958 4.5 4.5 8.61958
0.526 8.57353 4.48 4.48 8.57353
0.527 8.52747 4.46 4.46 8.52747
0.528 8.48142 4.44 4.44 8.48142
0.529 8.43537 4.42 4.42 8.43537
0.53 8.38932 4.4 4.4 8.38932
0.531 8.34327 4.38 4.38 8.34327
0.532 8.29721 4.36 4.36 8.29721
0.533 8.25116 4.34 4.34 8.25116
0.534 8.20511 4.32 4.32 8.20511
0.535 8.15906 4.3 4.3 8.15906
0.536 8.11301 4.28 4.28 8.11301
0.537 8.06696 4.26 4.26 8.06696
0.538 8.0209 4.24 4.24 8.0209
0.539 7.97485 4.22 4.22 7.97485
0.54 7.9288 4.2 4.2 7.9288
0.541 7.88275 4.18 4.18 7.88275
0.542 7.8367 4.16 4.16 7.8367
0.543 7.79065 4.14 4.14 7.79065
0.544 7.74459 4.12 4.12 7.74459
0.545 7.69854 4.1 4.1 7.69854
0.546 7.65249 4.08 4.08 7.65249
0.547 7.60644 4.06 4.06 7.60644
0.548 7.56039 4.04 4.04 7.56039
0.549 7.51433 4.02 4.02 7.51433
0.55 7.46828 4 4 7.46828
0.551 7.42223 3.98 3.98 7.42223
0.552 7.37618 3.96 3.96 7.37618
0.553 7.33013 3.94 3.94 7.33013
0.554 7.28408 3.92 3.92 7.28408
0.555 7.23802 3.9 3.9 7.23802
0.556 7.19197 3.88 3.88 7.19197
0.557 7.14592 3.86 3.86 7.14592
0.558 7.09987 3.84 3.84 7.09987
0.559 7.05382 3.82 3.82 7.05382
0.56 7.00777 3.8 3.8 7.00777
0.561 6.96171 3.78 3.78 6.96171
0.562 6.91566 3.76 3.76 6.91566
0.563 6.86961 3.74 3.74 6.86961
0.564 6.82356 3.72 3.72 6.82356
0.565 6.77751 3.7 3.7 6.77751
0.566 6.73145 3.68 3.68 6.73145
0.567 6.6854 3.66 3.66 6.6854
0.568 6.63935 3.64 3.64 6.63935
0.569 6.5933 3.62 3.62 6.5933
0.57 6.54725 3.6 3.6 6.54725
0.571 6.5012 3.58 3.58 6.5012
0.572 6.45514 3.56 3.56 6.45514
