t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
6.2 0.965915 0.038628 -0.00312097 1.95997e-05 1 -2.06732 2.12388 -0.0372348 -0.00114745 4.1912
6.24 0.985428 0.0173331 -0.00220055 5.36292e-05 1 -1.30883 1.38858 -0.052857 -0.000554027 2.69741
6.28 0.996374 0.00474814 -0.00104019 6.83922e-05 1 -0.538499 0.628316 -0.0593121 -0.000184123 1.16682
6.32 0.998602 0.00116997 0.000210263 7.36188e-05 1 0.236952 -0.143324 -0.0610323 -7.721e-05 -0.380277
6.36 0.992077 0.00668049 0.00149428 8.0119e-05 1 1.01073 -0.912548 -0.0625991 -0.000247798 -1.92328
6.4 0.97688 0.0211446 0.00285039 9.91947e-05 1 1.77607 -1.6656 -0.0685847 -0.000705988 -3.44167
6.44 0.953207 0.0442132 0.00441025 0.000142875 1 2.5263 -2.389 -0.0833949 -0.00147803 -4.9153
6.48 0.921367 0.0753311 0.00639299 0.000224954 1 3.25495 -3.06986 -0.111115 -0.00262593 -6.32481
6.52 0.881775 0.113749 0.00909617 0.000362774 1 3.95583 -3.69602 -0.155367 -0.00426508 -7.65185
6.56 0.834947 0.158542 0.0128835 0.00057966 1 4.62313 -4.25638 -0.219177 -0.00657918 -8.8795
6.6 0.781488 0.208629 0.0181695 0.000907871 1 5.25144 -4.74102 -0.30486 -0.00983137 -9.99246
6.64 0.722087 0.262796 0.0254024 0.00139192 1 5.83588 -5.14143 -0.413929 -0.0143713 -10.9773
6.68 0.657502 0.319726 0.0350444 0.00209209 1 6.37213 -5.45065 -0.547017 -0.0206372 -11.8228
6.72 0.588546 0.378028 0.0475513 0.0030879 1 6.85647 -5.66336 -0.703833 -0.0291529 -12.5198
6.76 0.516081 0.436265 0.0633513 0.00448135 1 7.28584 -5.77599 -0.883142 -0.0405196 -13.0618
6.8 0.440996 0.492993 0.0828239 0.00639978 1 7.65786 -5.78678 -1.08277 -0.0554019 -13.4446
6.84 0.364198 0.546785 0.106279 0.00899801 1 7.97084 -5.69578 -1.29962 -0.0745095 -13.6666
6.88 0.286596 0.596267 0.13394 0.0124597 1 8.22381 -5.50481 -1.52977 -0.0985733 -13.7286
6.92 0.209086 0.640151 0.165923 0.0169975 1 8.41648 -5.21745 -1.76852 -0.128318 -13.6339
6.96 0.132541 0.677256 0.202227 0.0228525 1 8.54927 -4.8389 -2.0105 -0.164431 -13.3882
7 0.0577933 0.706542 0.242717 0.0302917 1 8.62325 -4.3759 -2.24984 -0.207529 -12.9992
7.04 -0.0143721 0.727127 0.287124 0.0396047 1 8.64013 -3.83657 -2.48024 -0.258123 -12.4767
7.08 -0.0832324 0.738307 0.335032 0.0510988 1 8.60219 -3.2302 -2.69521 -0.316583 -11.8324
7.12 -0.148134 0.739571 0.385887 0.0650925 1 8.51226 -2.56711 -2.88817 -0.383103 -11.0794
7.16 -0.208503 0.730614 0.438996 0.081908 1 8.37364 -1.85841 -3.05268 -0.45767 -10.232
7.2 -0.263848 0.711338 0.493535 0.101862 1 8.19003 -1.11577 -3.18254 -0.540033 -9.3058
7.24 -0.313767 0.681856 0.548567 0.125256 1 7.96551 -0.351204 -3.27204 -0.629682 -8.31672
7.28 -0.357952 0.642488 0.603056 0.152366 1 7.70441 0.423154 -3.31607 -0.725822 -7.28126
7.32 -0.396185 0.593752 0.655884 0.18343 1 7.41128 1.19531 -3.31028 -0.827367 -6.21597
7.36 -0.428345 0.536354 0.70588 0.218636 1 7.09078 1.95359 -3.25123 -0.932934 -5.13719
7.4 -0.4544 0.471165 0.751843 0.258112 1 6.74766 2.68691 -3.13646 -1.04084 -4.06075
7.44 -0.474406 0.399211 0.79257 0.301911 1 6.38663 3.38489 -2.96464 -1.14912 -3.00174
7.48 -0.488502 0.321639 0.826887 0.350005 1 6.01234 4.03809 -2.73556 -1.25555 -1.97425
7.52 -0.496902 0.2397 0.853676 0.402269 1 5.62932 4.63814 -2.45025 -1.35767 -0.991178
7.56 -0.499891 0.154716 0.871906 0.458478 1 5.24186 5.17785 -2.11091 -1.4528 -0.0640132
7.6 -0.497814 0.0680537 0.880663 0.518297 1 4.85405 5.65132 -1.72093 -1.53813 0.797271
7.64 -0.491067 -0.0189044 0.879173 0.581275 1 4.46967 6.05402 -1.28484 -1.61076 1.58435
7.68 -0.480091 -0.104791 0.866828 0.646845 1 4.09218 6.38278 -0.808216 -1.66773 2.29061
7.72 -0.465356 -0.188282 0.843211 0.714321 1 3.72468 6.63587 -0.297581 -1.70611 2.91119
7.76 -0.447356 -0.26812 0.808105 0.782905 1 3.36991 6.81289 0.239719 -1.72306 3.44298
7.8 -0.426599 -0.343145 0.761512 0.851684 1 3.0302 6.9148 0.795671 -1.71591 3.8846
7.84 -0.403595 -0.412311 0.703661 0.919647 1 2.7075 6.94379 1.36175 -1.68223 4.23629
7.88 -0.378848 -0.474709 0.635006 0.98569 1 2.40336 6.90322 1.92913 -1.6199 4.49986
7.92 -0.352849 -0.52958 0.55623 1.04863 1 2.11895 6.79747 2.48881 -1.52716 4.67852
7.96 -0.326065 -0.576328 0.468233 1.10723 1 1.85506 6.63183 3.03189 -1.40271 4.77677
8 -0.298936 -0.614528 0.372118 1.1602 1 1.61212 6.41231 3.54968 -1.24573 4.80019
8.04 -0.271869 -0.643931 0.26918 1.20623 1 1.39025 6.14554 4.03397 -1.05596 4.75529
8.08 -0.245228 -0.66446 0.160874 1.24402 1 1.18925 5.83856 4.47714 -0.833742 4.64931
8.12 -0.219339 -0.67621 0.0487941 1.2723 1 1.00867 5.49868 4.87235 -0.580009 4.49001
8.16 -0.194481 -0.679437 -0.0653601 1.28983 1 0.847818 5.13331 5.21371 -0.296353 4.28549
8.2 -0.170886 -0.674548 -0.179816 1.29545 1 0.705799 4.74978 5.49637 0.0149971 4.04398
8.24 -0.148741 -0.662088 -0.292767 1.28813 1 0.581559 4.35524 5.71663 0.351176 3.77368
8.28 -0.128186 -0.642718 -0.402406 1.26693 1 0.473917 3.95648 5.87204 0.708701 3.48256
8.32 -0.109318 -0.617199 -0.506967 1.23109 1 0.381599 3.55984 5.9614 1.08351 3.17824
8.36 -0.0921915 -0.586371 -0.604765 1.18 1 0.303271 3.1711 5.98481 1.47102 2.86783
8.4 -0.0768223 -0.55113 -0.694227 1.11325 1 0.237575 2.79538 5.94365 1.86617 2.55781
8.44 -0.063192 -0.512402 -0.773935 1.03066 1 0.183152 2.43711 5.8405 2.2635 2.25396
8.48 -0.0512515 -0.471128 -0.842651 0.932246 1 0.138667 2.09995 5.67912 2.65724 1.96129
