t 1 2 3 4 5 6 7 jK0406 jL0406
2.23e-05 0.767374 10 -2.19569e-09 179.206 180 0.108871 -17.9097 -0.000355159 0.793922
2.24e-05 0.767484 10 -2.20547e-09 179.203 180 0.109068 -17.9093 -0.000399561 0.797504
2.25e-05 0.767593 10 -2.21525e-09 179.199 180 0.109264 -17.909 -0.000356943 0.801086
2.26e-05 0.767702 10 -2.22503e-09 179.195 180 0.10946 -17.9086 -0.00039775 0.804667
2.27e-05 0.767811 10 -2.23481e-09 179.192 180 0.109656 -17.9082 -0.00035858 0.808249
2.28e-05 0.767919 10 -2.24458e-09 179.188 180 0.109852 -17.9078 -0.000396084 0.811831
2.29e-05 0.768026 10 -2.25436e-09 179.185 180 0.110048 -17.9075 -0.000360084 0.815412
2.3e-05 0.768133 10 -2.26413e-09 179.181 180 0.110243 -17.9071 -0.000394552 0.818994
2.31e-05 0.76824 10 -2.27391e-09 179.177 180 0.110438 -17.9067 -0.000361464 0.822575
2.32e-05 0.768346 10 -2.28368e-09 179.174 180 0.110633 -17.9063 -0.000393143 0.826156
2.33e-05 0.768452 10 -2.29345e-09 179.17 180 0.110828 -17.9059 -0.000362731 0.829737
2.34e-05 0.768557 10 -2.30322e-09 179.167 180 0.111023 -17.9056 -0.000391846 0.833319
2.35e-05 0.768662 10 -2.31299e-09 179.163 180 0.111218 -17.9052 -0.000363895 0.8369
2.36e-05 0.768767 10 -2.32276e-09 179.16 180 0.111413 -17.9048 -0.000390654 0.840481
2.37e-05 0.768871 10 -2.33253e-09 179.156 180 0.111607 -17.9044 -0.000364964 0.844062
2.38e-05 0.768974 10 -2.34229e-09 179.152 180 0.111802 -17.9041 -0.000389558 0.847642
2.39e-05 0.769078 10 -2.35206e-09 179.149 180 0.111996 -17.9037 -0.000365945 0.851223
2.4e-05 0.76918 10 -2.36182e-09 179.145 180 0.11219 -17.9033 -0.000388549 0.854804
2.41e-05 0.769283 10 -2.37158e-09 179.142 180 0.112384 -17.9029 -0.000366847 0.858385
2.42e-05 0.769384 10 -2.38135e-09 179.138 180 0.112578 -17.9025 -0.000387622 0.861965
2.43e-05 0.769486 10 -2.39111e-09 179.134 180 0.112772 -17.9022 -0.000367675 0.865546
2.44e-05 0.769587 10 -2.40087e-09 179.131 180 0.112966 -17.9018 -0.00038677 0.869126
2.45e-05 0.769688 10 -2.41063e-09 179.127 180 0.11316 -17.9014 -0.000368436 0.872706
2.46e-05 0.769788 10 -2.42039e-09 179.124 180 0.113354 -17.901 -0.000385987 0.876287
2.47e-05 0.769888 10 -2.43014e-09 179.12 180 0.113547 -17.9007 -0.000369136 0.879867
2.48e-05 0.769987 10 -2.4399e-09 179.117 180 0.113741 -17.9003 -0.000385267 0.883447
