t 1 2 3 4 jK0200 jL1 jL2
1.62166 9.97963 0.997963 0.81423 0.481773 0.0610603 0.610603 3.59767
1.62764 7.72078 0.772078 0.801003 0.368145 0.0618014 0.618014 3.82911
1.63363 5.34177 0.534177 0.781495 0.248711 0.0604789 0.604789 3.9999
1.63961 2.8809 0.28809 0.754194 0.125355 0.0570636 0.570636 4.10741
1.64559 0.377778 0.0377778 0.717641 2.2e-05 0.0515777 0.515777 4.15002
1.65158 -2.12737 -0.212737 0.67049 -0.125311 0.0440949 0.440949 4.12714
1.65756 -4.59433 -0.459433 0.611556 -0.248668 0.0347397 0.347397 4.03926
1.66355 -6.9836 -0.69836 0.539864 -0.368104 0.0236851 0.236851 3.88787
1.66953 -9.25699 -0.925699 0.4547 -0.481734 0.0111492 0.111492 3.67553
1.67551 -11.3782 -1.13782 0.355646 -0.587767 -0.00260852 -0.0260852 3.40572
1.6815 -13.3137 -1.33137 0.24262 -0.684531 -0.017293 -0.17293 3.08288
1.68748 -15.0327 -1.50327 0.115896 -0.770499 -0.0325792 -0.325792 2.71225
1.69347 -16.5081 -1.65081 -0.0238659 -0.844316 -0.0481189 -0.481189 2.29985
1.69945 -17.717 -1.7717 -0.17562 -0.904817 -0.0635482 -0.635482 1.85236
1.70543 -18.6408 -1.86408 -0.337928 -0.951049 -0.0784949 -0.784949 1.37698
1.71142 -19.2653 -1.92653 -0.508968 -0.982283 -0.0925869 -0.925869 0.881359
1.7174 -19.5814 -1.95814 -0.686552 -0.998025 -0.10546 -1.0546 0.373438
1.72339 -19.5852 -1.95852 -0.868157 -0.998028 -0.116768 -1.16768 -0.138666
1.72937 -19.2775 -1.92775 -1.05096 -0.982292 -0.126185 -1.26185 -0.646795
1.73535 -18.6644 -1.86644 -1.23188 -0.951064 -0.13342 -1.3342 -1.14289
1.74134 -17.7567 -1.77567 -1.40763 -0.904837 -0.138219 -1.38219 -1.61909
1.74732 -16.5702 -1.65702 -1.5748 -0.84434 -0.140375 -1.40375 -2.06791
1.75331 -15.125 -1.5125 -1.72988 -0.770528 -0.139728 -1.39728 -2.48233
1.75929 -13.4452 -1.34452 -1.86938 -0.684564 -0.136175 -1.36175 -2.85588
1.76527 -11.5589 -1.15589 -1.98987 -0.587804 -0.12967 -1.2967 -3.18281
1.77126 -9.49718 -0.949718 -2.08805 -0.481774 -0.120228 -1.20228 -3.45812
1.77724 -7.2939 -0.72939 -2.16086 -0.368147 -0.107926 -1.07926 -3.67767
1.78323 -4.98507 -0.498507 -2.20554 -0.248713 -0.0929011 -0.929011 -3.83821
1.78921 -2.60824 -0.260824 -2.21968 -0.125357 -0.0753518 -0.753518 -3.9375
1.79519 -0.2019 -0.02019 -2.20131 -2.4e-05 -0.055533 -0.55533 -3.97424
1.80118 2.19519 0.219519 -2.14894 0.125309 -0.0337533 -0.337533 -3.94818
1.80716 4.54461 0.454461 -2.06164 0.248666 -0.0103701 -0.103701 -3.86005
1.81315 6.80889 0.680889 -1.93906 0.368102 0.0142171 0.142171 -3.71161
1.81913 8.95216 0.895216 -1.78147 0.481732 0.0395731 0.395731 -3.50553
1.82511 10.9407 1.09407 -1.58979 0.587766 0.065235 0.65235 -3.24543
1.8311 12.7434 1.27434 -1.36558 0.684529 0.0907209 0.907209 -2.93576
1.83708 14.3325 1.43325 -1.11106 0.770498 0.115539 1.15539 -2.58174
1.84307 15.6838 1.56838 -0.829077 0.844315 0.139196 1.39196 -2.18928
1.84905 16.777 1.6777 -0.523088 0.904817 0.161209 1.61209 -1.76485
1.85503 17.5962 1.75962 -0.197116 0.951049 0.181112 1.81112 -1.31542
1.86102 18.13 1.813 0.144305 0.982283 0.198467 1.98467 -0.848304
1.867 18.3718 1.83718 0.496191 0.998025 0.212875 2.12875 -0.371044
